timestep_index,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
1,-6.95006059049,-6.10908338931,-5.9299613745,-5.81034517778,-2.65723049463,-2.22570411959,-1.50338633077,-1.13102860618,-0.585412430067
6,-6.95030505719,-6.11036099911,-5.92983729538,-5.81034158435,-2.65688623454,-2.2252845978,-1.50293444369,-1.13132860779,-0.585904248182
11,-6.95054954438,-6.11165413384,-5.92972045056,-5.81032151094,-2.65653378256,-2.22486677032,-1.5024737564,-1.13157889683,-0.586401496662
16,-6.95079407466,-6.11296250159,-5.92961106874,-5.81028485993,-2.65617313512,-2.22445061527,-1.50200405087,-1.13177881343,-0.586904290783
21,-6.9510386776,-6.11428585356,-5.92950937956,-5.81023154459,-2.65580428654,-2.22403612214,-1.50152518199,-1.13192815583,-0.587412722138
26,-6.95128337332,-6.11562400009,-5.92941560215,-5.81016148825,-2.65542723125,-2.22362327508,-1.5010370174,-1.13202657266,-0.587926859334
31,-6.95152817875,-6.11697669448,-5.92932994038,-5.81007462525,-2.65504196241,-2.22321205841,-1.50053939425,-1.13207369004,-0.588446767278
36,-6.95177310845,-6.11834366884,-5.92925258823,-5.80997090215,-2.65464849361,-2.22280245786,-1.50003218927,-1.13206917963,-0.588972517127
41,-6.95201816561,-6.11972466296,-5.92918372395,-5.80985027038,-2.65424684401,-2.2223944669,-1.49951530096,-1.13201275735,-0.589504172532
46,-6.95226335409,-6.1211194114,-5.92912351931,-5.80971268448,-2.65383704222,-2.22198806201,-1.49898863038,-1.13190419386,-0.590041797409
51,-6.95250868434,-6.12252765539,-5.92907213886,-5.80955812499,-2.65341910442,-2.22158323443,-1.49845210877,-1.13174330136,-0.590585453991
56,-6.95275417168,-6.12394914203,-5.92902972764,-5.80938659807,-2.65299303575,-2.22117997532,-1.49790566124,-1.13152988808,-0.591135229323
61,-6.95299982873,-6.12538357306,-5.92899641419,-5.8091981131,-2.65255885705,-2.22077827299,-1.49734922451,-1.13126374455,-0.591691179482
66,-6.95324565735,-6.12683064738,-5.92897231985,-5.80899268775,-2.65211658909,-2.22037811055,-1.49678275693,-1.13094470159,-0.592253375076
71,-6.95349164992,-6.1282900713,-5.9289575348,-5.80877035409,-2.65166625341,-2.21997947809,-1.49620622876,-1.13057256199,-0.592821863483
76,-6.95373781816,-6.1297615616,-5.92895216577,-5.80853115718,-2.65120788019,-2.21958236516,-1.49561961431,-1.1301471648,-0.593396735101
81,-6.95398418068,-6.13124483783,-5.92895629962,-5.80827515026,-2.65074150713,-2.21918675972,-1.49502289117,-1.12966834233,-0.593978056984
86,-6.95423075604,-6.13273958165,-5.92897000743,-5.80800241792,-2.65026716524,-2.21879266536,-1.49441605271,-1.12913593938,-0.594565910373
91,-6.95447754622,-6.13424547688,-5.9289933407,-5.8077130534,-2.64978487794,-2.21840007639,-1.49379912524,-1.12854980464,-0.595160365108
96,-6.95472456687,-6.13576220338,-5.92902635501,-5.80740715161,-2.64929468519,-2.21800898351,-1.49317213139,-1.12790979056,-0.595761495746
