timestep_index,time_fs,tdc_total_1_per_ps,atom001_cart1_1_per_ps,atom001_cart2_1_per_ps,atom001_cart3_1_per_ps,atom002_cart1_1_per_ps,atom002_cart2_1_per_ps,atom002_cart3_1_per_ps,atom003_cart1_1_per_ps,atom003_cart2_1_per_ps,atom003_cart3_1_per_ps,atom004_cart1_1_per_ps,atom004_cart2_1_per_ps,atom004_cart3_1_per_ps,atom005_cart1_1_per_ps,atom005_cart2_1_per_ps,atom005_cart3_1_per_ps,atom006_cart1_1_per_ps,atom006_cart2_1_per_ps,atom006_cart3_1_per_ps,atom007_cart1_1_per_ps,atom007_cart2_1_per_ps,atom007_cart3_1_per_ps,atom008_cart1_1_per_ps,atom008_cart2_1_per_ps,atom008_cart3_1_per_ps,atom009_cart1_1_per_ps,atom009_cart2_1_per_ps,atom009_cart3_1_per_ps,atom010_cart1_1_per_ps,atom010_cart2_1_per_ps,atom010_cart3_1_per_ps,atom011_cart1_1_per_ps,atom011_cart2_1_per_ps,atom011_cart3_1_per_ps,atom012_cart1_1_per_ps,atom012_cart2_1_per_ps,atom012_cart3_1_per_ps,atom013_cart1_1_per_ps,atom013_cart2_1_per_ps,atom013_cart3_1_per_ps,atom014_cart1_1_per_ps,atom014_cart2_1_per_ps,atom014_cart3_1_per_ps,atom015_cart1_1_per_ps,atom015_cart2_1_per_ps,atom015_cart3_1_per_ps,atom016_cart1_1_per_ps,atom016_cart2_1_per_ps,atom016_cart3_1_per_ps,atom017_cart1_1_per_ps,atom017_cart2_1_per_ps,atom017_cart3_1_per_ps,atom018_cart1_1_per_ps,atom018_cart2_1_per_ps,atom018_cart3_1_per_ps,atom019_cart1_1_per_ps,atom019_cart2_1_per_ps,atom019_cart3_1_per_ps,atom020_cart1_1_per_ps,atom020_cart2_1_per_ps,atom020_cart3_1_per_ps,atom021_cart1_1_per_ps,atom021_cart2_1_per_ps,atom021_cart3_1_per_ps,atom022_cart1_1_per_ps,atom022_cart2_1_per_ps,atom022_cart3_1_per_ps,atom023_cart1_1_per_ps,atom023_cart2_1_per_ps,atom023_cart3_1_per_ps,atom024_cart1_1_per_ps,atom024_cart2_1_per_ps,atom024_cart3_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps,atom028_cart1_1_per_ps,atom028_cart2_1_per_ps,atom028_cart3_1_per_ps,atom029_cart1_1_per_ps,atom029_cart2_1_per_ps,atom029_cart3_1_per_ps,atom030_cart1_1_per_ps,atom030_cart2_1_per_ps,atom030_cart3_1_per_ps
1,0.00362833,18.373840184399466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5727050387969296,0.21023851804875607,0.1698936633102062,-0.2675559972857147,0.9165324709188848,4.654997463250202,0.15810644213835515,-0.46857633642840596,0.42754720878229757,-0.4597668933522122,0.3681668627417834,0.09420168033363828,-1.4794137448742763,6.5124525819982795,5.077657109037102,-1.6165694126052126,0.16543424655514172,3.337789283033713
6,0.02176996,17.479538810372805,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5542046187060833,0.19498671164290737,0.1540569202703779,-0.2517533571268099,0.8641187600793194,4.32262041796915,0.17316435124985646,-0.44040030927859247,0.42222154639746057,-0.4225018662025302,0.3709498433220907,0.0948218980349898,-1.4693924570521157,6.457864605520119,4.6531968230341505,-1.5018938000728903,0.07756443945295552,3.2257096644262813
11,0.03991159,16.58534061214042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5352868507520668,0.18038347923272965,0.13844002889193582,-0.2361212257061559,0.8127225357588789,3.9975811980591818,0.18681226774679208,-0.4125775186351439,0.415307834610814,-0.38573192826141567,0.3736996943361478,0.09528651647396771,-1.4588859802635297,6.401952973823026,4.228156938787783,-1.3922861228952876,-0.009463795678159238,3.114776865106794
16,0.05805322,15.693148357003452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5159508042846775,0.1663203774516086,0.12302608031667642,-0.22066896763656293,0.7624722759136794,3.68011053060367,0.199082902370874,-0.38509346689761714,0.4068710827894318,-0.34947854444682247,0.37631542212631425,0.0956526568993733,-1.44787751568337,6.344841506135706,3.803320000664952,-1.2872010752454177,-0.09555268095690589,3.005056968313179
21,0.07619485,14.804850893078338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.49628793860378073,0.15286800811946494,0.10783637666187537,-0.2055257681099393,0.7135236700697226,3.370579363185109,0.21003313750185673,-0.3580033090157023,0.3969666377666902,-0.31377811396647864,0.37882976132853696,0.09589881574696942,-1.4364141870534537,6.286796180479952,3.3794375586703875,-1.1866209598105182,-0.18062522600731623,2.8967610089074025
26,0.09433649,13.921044335141152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47627288233227183,0.13996814041312736,0.09288285962899134,-0.19069387037977417,0.6659361223674016,3.069070674275819,0.2196435302212597,-0.33132318338448663,0.38560977450264033,-0.2786615378110757,0.38123407717366187,0.09605111449758716,-1.4244013918391356,6.227767465044678,2.9570751857702704,-1.0906157428701169,-0.26461152601373705,2.7898397612117685
31,0.11247812,13.034655178746405,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.45593088809052457,0.12762411251044972,0.0781880877716715,-0.17623706813909118,0.6197985606011279,2.7677967017195355,0.2279655008444358,-0.3050856281536355,0.37282812327431053,-0.24415178863708834,0.3834846678363553,0.09612634955868436,-1.4117853828806446,6.167751410583022,2.536766905044816,-0.999220636865267,-0.3474097251472053,2.684284100734405
36,0.13061975,12.164010042873217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.435268525862634,0.11585591746055406,0.06377695380952113,-0.1621513446221849,0.5751470258456767,2.4839833605620405,0.23494954000235876,-0.2793431912054895,0.35865343543240785,-0.210271832707058,0.3855719695518005,0.09610841454779998,-1.3985638477479687,6.106951778020816,2.119145265082382,-0.9123121616539148,-0.4289181454669067,2.580158380098746
41,0.14876138,11.300631773144376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.41433282793388226,0.10468805867170189,0.04966326217857079,-0.148492298501472,0.5320024877276814,2.2085302084689276,0.24063495351274328,-0.2541195665537999,0.343125398082122,-0.1770494406949508,0.3875551620143775,0.09598532821842488,-1.3848480844938955,6.045355767518024,1.7047451601524157,-0.8300774957182149,-0.5090684053004678,2.4776684499283057
46,0.16690301,10.445490011543463,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39316860014835364,0.09409672944746993,0.03585640276175217,-0.13525002436622577,0.49033275754153827,1.9415775598541438,0.24504330639866773,-0.2294673282338463,0.3263122421161634,-0.1444923080829159,0.389394636102498,0.0957772485696103,-1.3707155946822036,5.983022185700925,1.2940584068826955,-0.7522958725167962,-0.5877838673339318,2.376854931235566
