timestep_index,time_fs,tdc_total_1_per_ps,atom001_cart1_1_per_ps,atom001_cart2_1_per_ps,atom001_cart3_1_per_ps,atom002_cart1_1_per_ps,atom002_cart2_1_per_ps,atom002_cart3_1_per_ps,atom003_cart1_1_per_ps,atom003_cart2_1_per_ps,atom003_cart3_1_per_ps,atom004_cart1_1_per_ps,atom004_cart2_1_per_ps,atom004_cart3_1_per_ps,atom005_cart1_1_per_ps,atom005_cart2_1_per_ps,atom005_cart3_1_per_ps,atom006_cart1_1_per_ps,atom006_cart2_1_per_ps,atom006_cart3_1_per_ps,atom007_cart1_1_per_ps,atom007_cart2_1_per_ps,atom007_cart3_1_per_ps,atom008_cart1_1_per_ps,atom008_cart2_1_per_ps,atom008_cart3_1_per_ps,atom009_cart1_1_per_ps,atom009_cart2_1_per_ps,atom009_cart3_1_per_ps,atom010_cart1_1_per_ps,atom010_cart2_1_per_ps,atom010_cart3_1_per_ps,atom011_cart1_1_per_ps,atom011_cart2_1_per_ps,atom011_cart3_1_per_ps,atom012_cart1_1_per_ps,atom012_cart2_1_per_ps,atom012_cart3_1_per_ps,atom013_cart1_1_per_ps,atom013_cart2_1_per_ps,atom013_cart3_1_per_ps,atom014_cart1_1_per_ps,atom014_cart2_1_per_ps,atom014_cart3_1_per_ps,atom015_cart1_1_per_ps,atom015_cart2_1_per_ps,atom015_cart3_1_per_ps,atom016_cart1_1_per_ps,atom016_cart2_1_per_ps,atom016_cart3_1_per_ps,atom017_cart1_1_per_ps,atom017_cart2_1_per_ps,atom017_cart3_1_per_ps,atom018_cart1_1_per_ps,atom018_cart2_1_per_ps,atom018_cart3_1_per_ps,atom019_cart1_1_per_ps,atom019_cart2_1_per_ps,atom019_cart3_1_per_ps,atom020_cart1_1_per_ps,atom020_cart2_1_per_ps,atom020_cart3_1_per_ps,atom021_cart1_1_per_ps,atom021_cart2_1_per_ps,atom021_cart3_1_per_ps,atom022_cart1_1_per_ps,atom022_cart2_1_per_ps,atom022_cart3_1_per_ps,atom023_cart1_1_per_ps,atom023_cart2_1_per_ps,atom023_cart3_1_per_ps,atom024_cart1_1_per_ps,atom024_cart2_1_per_ps,atom024_cart3_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps,atom028_cart1_1_per_ps,atom028_cart2_1_per_ps,atom028_cart3_1_per_ps,atom029_cart1_1_per_ps,atom029_cart2_1_per_ps,atom029_cart3_1_per_ps,atom030_cart1_1_per_ps,atom030_cart2_1_per_ps,atom030_cart3_1_per_ps
1,0.00362833,0.18532394607569996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019969826421575923,0.03533150234763032,-0.011098234784561534,-0.017142818448325294,0.0685219358726246,0.5633011331641877,0.015967539587282926,0.1691281054577988,-0.09699749790363106,-0.01843856250513906,-0.011777914212135214,0.005434456813857429,-0.013610397617122254,-0.16899234902154148,-0.38649260311675976,-0.02446557024631347,0.05429983814016705,0.002385556126104306
6,0.02176996,0.17174321068078233,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199474261620823,0.0346212578852147,-0.0113270040083091,-0.016351320849753374,0.06717538152870518,0.5614534036119653,0.01805077821527648,0.16152461734752124,-0.10175490787323872,-0.017920029893757104,-0.01182651575542191,0.005275654344469154,-0.01263063902889414,-0.17096204149101404,-0.38686845925420915,-0.02336263002386497,0.05421321703416026,0.002485022729850265
11,0.03991159,0.1578964675445246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01991825459938246,0.03390416575700848,-0.01155145033409157,-0.015557576165965464,0.06574504215817713,0.5595223577045215,0.020119819631730693,0.15381102768208085,-0.10656601784555238,-0.017404142266359557,-0.011876982005246173,0.005117609164596177,-0.011661765375674711,-0.1729144043802618,-0.38712414461758976,-0.022289225062996985,0.054121770742242704,0.002582128158522954
16,0.05805322,0.1437538113560789,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019881340818639133,0.033160142575660155,-0.011768985019582191,-0.014760735209620778,0.06423444290086833,0.5575045517322555,0.022176055802336565,0.1459723348706927,-0.11143621403894839,-0.016890892356765348,-0.011926229960470644,0.004963397355151282,-0.010703758137681863,-0.1748490264776374,-0.3872669402960377,-0.02123735431525853,0.054024583523477755,0.0026770975890002724
21,0.07619485,0.12934497319662316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01983920962083597,0.032402205069117354,-0.011979456731134286,-0.013968246179425428,0.06265120267769686,0.5554230182386094,0.024223626812184772,0.13801909908382687,-0.11636973439351582,-0.016380393584417025,-0.01197530491261922,0.004811646898315729,-0.009757206251086222,-0.1767696760530321,-0.387312786138478,-0.02020693160487014,0.0539252878004998,0.0027694128441147527
26,0.09433649,0.11465365463426107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019789985737160114,0.0316178310263381,-0.012181770552554962,-0.013179180014392163,0.06099517403044988,0.5532661458967385,0.02625794887573902,0.1299499885884623,-0.12135805588263557,-0.015872956533173468,-0.012023939251863569,0.0046635119158817935,-0.008821631287205072,-0.1786722568201035,-0.38725942435491584,-0.0191995669368305,0.053822684703225626,0.002859165493940389
31,0.11247812,0.10096789642761253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019733600742495586,0.030806348205263404,-0.012375938200694258,-0.012396819940852037,0.059270212802776515,0.552305280413853,0.028282466759190352,0.12176905307097363,-0.12639501395373395,-0.015368927093308107,-0.012070862856283669,0.004519471772853627,-0.007897197955597283,-0.18055311112653763,-0.38710399375712834,-0.018216596053101133,0.0537140543347039,0.0029458692627390096
36,0.13061975,0.08570404539855794,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019669222281568175,0.029971285172469983,-0.012562994394992855,-0.011619959580416069,0.057475485512579035,0.549946342006318,0.0302878073809513,0.11349047864021625,-0.13147222379185433,-0.014868072255369555,-0.012115756114694554,0.004378602352249421,-0.006984523245183996,-0.18241427629017742,-0.3868489491715657,-0.01725654825250513,0.05359845355877426,0.0030296715901912525
41,0.14876138,0.07017361700061259,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019597707984986106,0.029118997822822054,-0.012743096990098936,-0.01085170308980698,0.05560941883516698,0.5474933421214083,0.03227482324862403,0.10511778251658584,-0.13658232432213363,-0.014370899201099149,-0.012160527897423765,0.004240140403860098,-0.0060846147057174865,-0.18425177117463476,-0.3864968436868617,-0.016324110193761895,0.05347657391238595,0.0031107214163115385
46,0.16690301,0.054389513524416275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01951995547115707,0.028243616276863573,-0.01291517803038014,-0.010090427086200743,0.05366414153399619,0.5449428071335258,0.034242151336837105,0.09666795167007763,-0.14172853111384645,-0.013876305542848877,-0.012203941940723976,0.004104824133847773,-0.005198232415410588,-0.1860640782406681,-0.38604096832373386,-0.015416369315948208,0.05334940958622786,0.003188688391644178
