timestep_index,time_fs,state_54_eV,state_55_eV,state_56_eV,state_57_eV,state_58_eV,state_59_eV,state_60_eV,state_61_eV,state_62_eV
1,0.00362833,-6.9500605904926624,-6.1090833893104435,-5.929961374495438,-5.810345177781072,-2.657230494633126,-2.2257041195862066,-1.5033863307723985,-1.1310286061818073,-0.5854124300672069
6,0.02176996,-6.950305057194719,-6.110360999114405,-5.929837295375322,-5.810341584347693,-2.6568862345376325,-2.225284597800314,-1.5029344436852556,-1.1313286077854843,-0.585904248182005
11,0.03991159,-6.95054954437864,-6.111654133843315,-5.929720450558733,-5.810321510937884,-2.6565337825595887,-2.22486677031754,-1.5024737563952544,-1.13157889682616,-0.5864014966620822
16,0.05805322,-6.950794074660807,-6.11296250159119,-5.929611068735246,-5.810284859927837,-2.656173135115161,-2.2244506152665875,-1.5020040508712134,-1.1317788134267557,-0.5869042907825026
21,0.07619485,-6.95103867759677,-6.114285853560994,-5.929509379562951,-5.81023154459374,-2.6558042865438645,-2.224036122137969,-1.501525181991777,-1.1319281558273397,-0.5874127221381299
26,0.09433649,-6.951283373315632,-6.115624000085939,-5.929415602149349,-5.810161488251259,-2.6554272312489897,-2.2236232750809575,-1.501037017401403,-1.1320265726591459,-0.587926859334011
31,0.11247812,-6.951528178754045,-6.116976694477216,-5.929329940383976,-5.810074625249173,-2.655041962414178,-2.2232120584101995,-1.5005393942492056,-1.1320736900401387,-0.5884467672780421
36,0.13061975,-6.951773108445478,-6.118343668835896,-5.929252588227671,-5.809970902151739,-2.6546484936099684,-2.22280245786412,-1.500032189266189,-1.13206917963367,-0.5889725171274164
41,0.14876138,-6.952018165608528,-6.119724662962498,-5.929183723945696,-5.809850270376396,-2.654246844009915,-2.222394466901393,-1.4995153009592117,-1.1320127573499994,-0.5895041725322958
46,0.16690301,-6.95226335408775,-6.121119411403703,-5.92912351930835,-5.809712684479747,-2.6538370422206516,-2.2219880620115053,-1.4989886303751692,-1.131904193862054,-0.5900417974092197
51,0.18504465,-6.952508684340877,-6.122527655391649,-5.9290721388567045,-5.8095581249915815,-2.6534191044188815,-2.2215832344301614,-1.4984521087653826,-1.1317433013617821,-0.5905854539913903
56,0.20318628,-6.952754171678117,-6.123949142031993,-5.929029727639458,-5.809386598068421,-2.6529930357513316,-2.221179975318391,-1.4979056612402064,-1.131529888080565,-0.5911352293227399
61,0.22132791,-6.952999828731107,-6.125383573064033,-5.928996414185781,-5.809198113100173,-2.6525588570518726,-2.2207782729929484,-1.4973492245119018,-1.1312637445498204,-0.5916911794818107
66,0.23946954,-6.95324565734751,-6.126830647380906,-5.928972319852646,-5.808992687750312,-2.6521165890921488,-2.2203781105467777,-1.4967827569287682,-1.1309447015947438,-0.5922533750757423
71,0.25761117,-6.953491649918015,-6.128290071298414,-5.928957534803249,-5.808770354090755,-2.651666253406652,-2.2199794780853357,-1.496206228757105,-1.1305725619856697,-0.5928218634825696
76,0.2757528,-6.9537378181630825,-6.129761561600668,-5.928952165771182,-5.808531157182474,-2.65120788019073,-2.219582365158304,-1.4956196143119842,-1.1301471647971735,-0.5933967351006864
81,0.29389444,-6.953984180677133,-6.131244837833618,-5.928956299615459,-5.808275150262945,-2.650741507127566,-2.2191867597169117,-1.4950228911656873,-1.1296683423260434,-0.5939780569839505
86,0.31203607,-6.9542307560435015,-6.132739581649535,-5.928970007426202,-5.808002417917805,-2.6502671652360124,-2.2187926653572023,-1.4944160527119812,-1.1291359393789973,-0.5945659103726083
91,0.3301777,-6.954477546223972,-6.134245476876586,-5.928993340695528,-5.807713053399116,-2.6497848779406983,-2.2184000763914895,-1.4937991252411562,-1.12854980464466,-0.595160365108253
96,0.34831933,-6.954724566866602,-6.135762203381204,-5.929026355009812,-5.807407151615002,-2.6492946851919257,-2.2180089835141383,-1.4931721313933375,-1.1279097905572526,-0.5957614957459838
101,0.36646096,-6.954971810342676,-6.1372894802525515,-5.9290690707432105,-5.807084829874738,-2.648796597555894,-2.2176193892688647,-1.4925350980306307,-1.1272157346442986,-0.5963693645747009
106,0.3846026,-6.9552192833456505,-6.138827057373762,-5.929121523126946,-5.806746198048423,-2.6482906451220383,-2.2172312702335497,-1.4918880676936312,-1.1264674802203736,-0.5969840218338424
111,0.40274423,-6.955466968373108,-6.140374681013193,-5.9291837214358845,-5.806391392079811,-2.6477768481519175,-2.216844618270881,-1.4912311002299676,-1.1256649092314535,-0.5976055287856049
116,0.42088586,-6.955714871728495,-6.141932036827945,-5.929255663606576,-5.80602055130658,-2.6472552359806625,-2.216459419360468,-1.4905642667434582,-1.1248079818118761,-0.598233934831404
121,0.43902749,-6.955962998900959,-6.143498790460172,-5.929337330037227,-5.805633830744669,-2.6467258479976596,-2.2160756696474433,-1.4898876675708235,-1.1238966648020676,-0.5988692873315014
126,0.45716912,-6.956211359650426,-6.145074621582637,-5.929428699751662,-5.80523139698167,-2.6461887192312123,-2.215693360981625,-1.4892014086448642,-1.122930954891616,-0.5995116320480296
131,0.47531076,-6.9564599401590765,-6.1466592186703775,-5.929529731773645,-5.804813432665274,-2.645643868255947,-2.215312500667421,-1.4885056214470909,-1.1219108709728405,-0.6001610214556826
136,0.49345239,-6.9567087498813365,-6.1482523002038665,-5.929640395723644,-5.804380112450296,-2.645091349711635,-2.214933080281154,-1.4878004375058607,-1.120836431069778,-0.6008175088409508
141,0.51159402,-6.956957792946229,-6.149853563679024,-5.929760638681756,-5.8039316247044175,-2.644531218955341,-2.214555104524458,-1.4870860195326137,-1.1197077090887555,-0.6014811512418907
146,0.52973565,-6.957207060074686,-6.151462695383722,-5.929890398781151,-5.803468171839011,-2.6439635127649583,-2.214178570541895,-1.4863625245267917,-1.1185247878224303,-0.6021519986635194
151,0.54787728,-6.957456550918435,-6.15307937199994,-5.9300296020399506,-5.8029899604359425,-2.6433882823626402,-2.2138034874958485,-1.485630134948272,-1.1172877759954851,-0.602830083242189
156,0.56601892,-6.957706275567326,-6.154703276694708,-5.930178167118556,-5.802497192645348,-2.6428055901814242,-2.2134298539425328,-1.4848890347770054,-1.1159967770674617,-0.6035154509673529
161,0.58416055,-6.9579562369072665,-6.156334123469862,-5.93033601098385,-5.801990092512467,-2.642215471849195,-2.2130576736149234,-1.4841394011479105,-1.1146518829284162,-0.6042081451740181
166,0.60230218,-6.958206437802568,-6.157971628826815,-5.93050304574851,-5.801468898606216,-2.641617974529076,-2.2126869547133974,-1.48338146223817,-1.1132532413800778,-0.6049082033349812
171,0.62044381,-6.95845687300204,-6.159615503468843,-5.930679179147948,-5.8009338432902435,-2.641013148343653,-2.212317711849075,-1.4826154309899897,-1.1118010003468621,-0.6056156547599406
176,0.63858544,-6.958707532838388,-6.161265446674649,-5.9308643029502175,-5.800385169325864,-2.6404010393428297,-2.211949949537751,-1.4818415465318315,-1.1102953280260655,-0.6063305540509515
181,0.65672707,-6.95895840675339,-6.162921127875105,-5.931058303094165,-5.799823110909189,-2.6397816968683157,-2.2115836696644924,-1.4810600333451538,-1.108736389335036,-0.6070529314217749
186,0.67486871,-6.959209490840897,-6.164582227491935,-5.931261061177479,-5.799247916051107,-2.6391551678659813,-2.211218878996075,-1.480271135875485,-1.1071243393093182,-0.6077828188453364
191,0.69301034,-6.959460788069429,-6.166248447376531,-5.931472455318789,-5.798659834551369,-2.638521514842436,-2.210855577586831,-1.4794750782932746,-1.105459359541861,-0.6085202461876342
196,0.71115197,-6.9597122999146,-6.167919486382374,-5.931692359312716,-5.798059123164538,-2.6378807889012883,-2.210493790585137,-1.478672121895959,-1.1037416892746414,-0.609265228323062
201,0.7292936,-6.9599640266621225,-6.169595047078283,-5.931920647809058,-5.797446035595856,-2.6372330484654647,-2.210133524083673,-1.4778625256032127,-1.1019716045622838,-0.6100177976031459
206,0.74743523,-6.960215959308739,-6.171274819107999,-5.932157192818836,-5.796820826977255,-2.6365783577478403,-2.2097747833125525,-1.4770465631366407,-1.1001493685223942,-0.610777977742158
211,0.76557687,-6.960468097328282,-6.172958492879958,-5.93240185859534,-5.796183762285886,-2.635916791253354,-2.2094175930408215,-1.4762245072691154,-1.098275272622586,-0.6115457894384769
216,0.7837185,-6.960720440414256,-6.174645785614673,-5.9326545105932516,-5.795535098724387,-2.6352484113385866,-2.2090619629898907,-1.4753966422808982,-1.0963495749292873,-0.6123212531427833
221,0.80186013,-6.96097298787604,-6.176336400736688,-5.93291500552398,-5.794875116568052,-2.6345732849929444,-2.2087079257511935,-1.4745632608928902,-1.0943726622947194,-0.6131043885011368
226,0.82000176,-6.961225719342584,-6.178030014745198,-5.933183194380006,-5.794204071573213,-2.6338914641882005,-2.2083554784636337,-1.473724656960156,-1.0923449390382596,-0.6138951953139883
231,0.83814339,-6.961478664827508,-6.17972636840173,-5.933458973796639,-5.793522265708574,-2.63320304541832,-2.208004665223426,-1.4728811829094466,-1.0902669327445464,-0.6146937125412172
236,0.85628503,-6.961731807023896,-6.181425133869421,-5.9337421898458595,-5.792829950887139,-2.632508077721749,-2.2076554882800523,-1.4720331287036095,-1.0881390829885864,-0.6154999494339481
241,0.87442666,-6.961985143042,-6.183126014769514,-5.934032700258161,-5.7921273969062375,-2.631806626310574,-2.207307968504725,-1.4711808141349236,-1.0859619175479216,-0.6163139154134827
246,0.89256829,-6.96223867391201,-6.1848287099626384,-5.934330367341404,-5.791414873208774,-2.631098763164554,-2.206962131995253,-1.47032456123544,-1.0837359697886084,-0.6171356307516332
251,0.91070992,-6.962492393105002,-6.186532903970112,-5.934635048099998,-5.790692651870258,-2.6303845618464057,-2.2066180081671862,-1.469464684402048,-1.0814618534704972,-0.6179650985446067
256,0.92885155,-6.962746297270508,-6.188238273296213,-5.934946606971952,-5.789961002390745,-2.629664100712315,-2.2062756175829263,-1.4686015126904175,-1.0791401655658586,-0.6188023314361021
261,0.94699319,-6.963000387104615,-6.189944484870266,-5.935264905362763,-5.7892201942303565,-2.6289374534889376,-2.20593498104407,-1.467735360289945,-1.0767715690812316,-0.6196473467492335
266,0.96513482,-6.963254660542169,-6.191651216588348,-5.935589813620195,-5.788470498610459,-2.6282046930428655,-2.205596117661313,-1.4668665570615134,-1.0743566944812448,-0.6205001602428103
271,0.98327645,-6.9635091223195005,-6.193358151611272,-5.9359211994844125,-5.787712180824408,-2.6274658919144485,-2.205259058410247,-1.4659954189561775,-1.0718962719506413,-0.6213607756649485
276,1.00141808,-6.963763775716315,-6.195064990415745,-5.936258931538143,-5.786945512831398,-2.6267211270092243,-2.204923842669913,-1.4651222783934406,-1.0693910058500544,-0.6222292144758037
281,1.01955971,-6.964018627102567,-6.196771447036237,-5.9366028872034695,-5.7861707548789685,-2.6259704855494372,-2.204590494193194,-1.4642474467506328,-1.066841625910149,-0.6231054768334063
286,1.03770134,-6.96427368316968,-6.198477263504021,-5.936952952104208,-5.785388187040341,-2.6252140565475943,-2.2042590549566152,-1.4633712607051057,-1.0642489272822682,-0.6239895723744932
291,1.05584298,-6.964528915088769,-6.2001820885534045,-5.9373089717489895,-5.7845980453589245,-2.6244518909744845,-2.2039295268896235,-1.4624940072188486,-1.0616136279549007,-0.6248814749102131
296,1.07398461,-6.964784338832869,-6.201885655618117,-5.937670843421406,-5.783800598073648,-2.6236840869939595,-2.2036019476907995,-1.4616159995588225,-1.0589365637313426,-0.6257812099014598
301,1.09212624,-6.965039955032119,-6.203587680053957,-5.938038445869984,-5.782996099950586,-2.622910718386194,-2.2032763357075704,-1.4607375372623908,-1.0562185955811805,-0.6266887819777521
