timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,2.785615234120582,-0.08267749422187322,0.04646653947847732,0.05212145414765407,0.05253485960446297,0.08494882753580084,2.4307177332907277,-0.034588758095977695,0.42785319045487047,-0.19176111807356022
6,0.02176996,2.7313901682857025,-0.08323540542127697,0.04557145237983218,0.053076746908827695,0.05096965550496754,0.08054357671596606,2.413677429698961,-0.0387441476318623,0.40741240042827576,-0.19788154029798893
11,0.03991159,2.676865739035228,-0.08377073340314292,0.04466068315468571,0.054027822518867744,0.049340166823067105,0.07619366176999454,2.3962194755371775,-0.04278038737506932,0.38681938492900186,-0.20384433491935428
16,0.05805322,2.6219599263294167,-0.08427895810942398,0.043708419060945226,0.05496252275457368,0.047641319724521125,0.07191067668296505,2.378336049642456,-0.04669937317838162,0.36603909423220155,-0.20965982448044027
21,0.07619485,2.566846564294769,-0.08477071662514131,0.04273207692644214,0.055880359749601385,0.045894253408245524,0.06770878718948409,2.3601470168043344,-0.05050875377132906,0.3450990501414117,-0.21533550952827968
26,0.09433649,2.5114848032521104,-0.08523776924917219,0.04171591766205215,0.05677635344849293,0.04409433609785585,0.06359269909834969,2.3416011553697125,-0.0541978974204826,0.3239964292585781,-0.2208564210132761
31,0.11247812,2.444034364124666,-0.08567970118543855,0.04065930486955633,0.057651142668885345,0.0422506567493077,0.05957069786813632,2.3108244469869756,-0.05777278726134838,0.3027419594207399,-0.22621135599214817
36,0.13061975,2.3885237060589066,-0.08609226701714326,0.039567559157354146,0.05850953748394687,0.04035609982218476,0.055646505547082496,2.2917661963605385,-0.06121345338913701,0.28137084261394335,-0.23138731451986339
41,0.14876138,2.332871564044997,-0.08647918830735686,0.0384493897818427,0.05935220963858479,0.03841948555256765,0.05182221670916593,2.27231141230055,-0.06452195965826714,0.2598917122745431,-0.23637371424663328
46,0.16690301,2.2770875064567306,-0.08684422120180048,0.03729764944697148,0.06017391277697884,0.03643264078146798,0.048095274416750204,2.252458421296189,-0.06769475305606008,0.23834717651446422,-0.24117859451823023
51,0.18504465,2.221224688120988,-0.08719127362776839,0.036116896442411416,0.060972675697610314,0.034409162108190235,0.04447606004975905,2.2322050688182853,-0.07072688522504948,0.21674348678280314,-0.24578050292525355
56,0.20318628,2.1652772899763204,-0.0875108520877541,0.03490181225676847,0.06174851577642845,0.03234856583817879,0.04096623834347397,2.211569615963653,-0.07362472266378389,0.19508381469052768,-0.25020569814117183
61,0.22132791,2.109328775235087,-0.08779427694487164,0.033661561402069544,0.06250162856111989,0.030243781496839525,0.037568503492450354,2.190571000064474,-0.07638440043508864,0.17338542156519388,-0.2544244439671002
66,0.23946954,2.05332213897441,-0.08805625077064208,0.032390246200764014,0.06322837678160557,0.028103052890793737,0.0342850886737545,2.16919442801628,-0.07900632996111562,0.15165290504382745,-0.25846937790085744
71,0.25761117,1.9972982599957623,-0.08828384546221886,0.03109393486299708,0.06392989892197433,0.025925574019599974,0.031117673043653798,2.1474074305833053,-0.0814859292530529,0.12991026689849627,-0.26231674361899265
76,0.2757528,1.9412520555051795,-0.08848283177969722,0.029769768902738088,0.06460894647035062,0.02371081243327103,0.028070920056479494,2.1252197177990384,-0.08382768379467741,0.10815881316433787,-0.2659764077466616
81,0.29389444,1.8851769348852132,-0.08865923991495095,0.02841797610182098,0.06526330100066056,0.021469787620758435,0.025146331099630468,2.1025850006786104,-0.08602169464243116,0.08641296186805243,-0.26943748892693803
86,0.31203607,1.8291162565898202,-0.0888126874803039,0.02704169466573241,0.0658929177470152,0.019197704162504613,0.02234687927816865,2.0795437270108477,-0.08807385498168213,0.06468275492353705,-0.27270287873599947
91,0.3301777,1.7731044698015594,-0.08893264058656075,0.02563961875744231,0.06649424071994918,0.016898835938423038,0.01967763755075706,2.0561117141483507,-0.08998006248894044,0.04296145805544308,-0.2757663322933049
96,0.34831933,1.71722012157762,-0.08902092336101061,0.024216102731405724,0.06706740688928986,0.01456929059378456,0.017142874010157173,2.0323785975722117,-0.09175039452142073,0.021256116013878484,-0.2786389483506762
101,0.36646096,1.661496527683072,-0.08908063424340881,0.022772427957561694,0.06760886126473632,0.01221922966168245,0.014747296423993219,2.008354536182796,-0.09338148544881604,-0.0004265713239539056,-0.2813171327915188
106,0.3846026,1.606006686666435,-0.0891113359837046,0.021314612852795435,0.06812068548842058,0.009861353234832322,0.01249473480687625,1.984072321385465,-0.09487458853664742,-0.02206878194445468,-0.2838023146371478
111,0.40274423,1.5507298480067797,-0.08911560040902829,0.019830809540933414,0.06860200685422495,0.007496628444384628,0.010384695646299503,1.9594817955431352,-0.0962223042282411,-0.04363469872212193,-0.2860934846628067
116,0.42088586,1.4957055845759277,-0.08909417754028183,0.018327704347354177,0.06905234629929959,0.005132579926368515,0.008418501756392995,1.934591468845572,-0.09742648304015605,-0.06510774340092752,-0.28818861261769435
121,0.43902749,1.4409611545961019,-0.08904333606248051,0.016807051738605958,0.06947741825269677,0.0027555480223100813,0.006598304277980761,1.9094041442318421,-0.09848497321643639,-0.08646742703900227,-0.2900855756094148
