timestep_index,time_fs,tdc_water1_total_1_per_ps,atom025_cart1_1_per_ps,atom025_cart2_1_per_ps,atom025_cart3_1_per_ps,atom026_cart1_1_per_ps,atom026_cart2_1_per_ps,atom026_cart3_1_per_ps,atom027_cart1_1_per_ps,atom027_cart2_1_per_ps,atom027_cart3_1_per_ps
1,0.00362833,-0.05697420520637449,0.01910779575380124,-0.008037169090393178,0.02223123020850449,-0.03396377003783611,-0.03355203774023559,-0.09187152754286045,-0.0001145024528483489,0.002850208447123929,0.06637556724836952
6,0.02176996,-0.04692333378386943,0.01962196049594753,-0.007531884502951821,0.02213721798865267,-0.03324184422721863,-0.03220595566595581,-0.08843091003423356,0.0001003564221732937,0.004403392843223941,0.06822433289649296
11,0.03991159,-0.03695571740578382,0.02014222206143048,-0.007039162173291029,0.02203993167420329,-0.03246728079024912,-0.0308481180934509,-0.08494497554667127,0.0003701209740219747,0.005796827423090217,0.06999471706513254
16,0.05805322,-0.0270791905600385,0.02066754739359432,-0.006555344329071366,0.02193490942043566,-0.03163489522811394,-0.02948265130797301,-0.08141944527767557,0.0006950283686339187,0.007025663145470684,0.07168999725466081
21,0.07619485,-0.01731944094680932,0.02120058272497817,-0.006083751609209565,0.02182247523490111,-0.0307572313880021,-0.02811579998327757,-0.07786046853441743,0.001075355524537764,0.008086084526710693,0.07331331255696961
26,0.09433649,-0.007688177000028731,0.02173936106247489,-0.005622654589818854,0.0217014649471478,-0.02982929783058746,-0.02674993048789518,-0.07427122678130671,0.001511261276473306,0.008973786138084992,0.0748590592653985
31,0.11247812,0.002847750600228918,0.02228379284447268,-0.005172812470165537,0.021572615539805,-0.0288554948453266,-0.02538925116018651,-0.06960299466489803,0.002003007469004064,0.00968493621118054,0.07632395167634332
36,0.13061975,0.01218990391676376,0.02283280205453307,-0.004735654823687427,0.02143840813375406,-0.02782963121413564,-0.02403585524483456,-0.0659505921805385,0.002550118903063026,0.0102168321091132,0.07770347617949654
41,0.14876138,0.0213667045580114,0.02338730804167,-0.004312876984774958,0.02129968037137317,-0.02675586246187669,-0.02269111034218993,-0.06227376319542489,0.00315266541473815,0.01056623540211562,0.07899442831238093
46,0.16690301,0.0303788316792012,0.02394832526989015,-0.003904210788106595,0.02115496039794064,-0.02562671472624028,-0.021354228907292,-0.05858136935532439,0.003810366791182324,0.01073181980043675,0.08019988319671462
51,0.18504465,0.03920065996947071,0.02451704365562673,-0.003510799331488465,0.02100439660651423,-0.02444974303507451,-0.02003005254233578,-0.05487712238972139,0.004522719619732793,0.01071117867196457,0.08131303871425252
56,0.20318628,0.0478334311003869,0.0250908454734646,-0.003132701298690129,0.02084844986271563,-0.02322291389098353,-0.01872041452419897,-0.05116517270966245,0.005289981615569273,0.01050200692908243,0.08234334964309005
61,0.22132791,0.05626654459626464,0.02566718877917941,-0.002771394624413107,0.02068771872058289,-0.02193942255199408,-0.01742645498428527,-0.04744738061940468,0.006111730295668946,0.01010295726822106,0.08328160231270947
66,0.23946954,0.06450303957731185,0.0262502177165824,-0.002426915370439882,0.02052156023173165,-0.02060313059284965,-0.01615056497762758,-0.04372675243465868,0.006987634920819809,0.009512177696634481,0.0841388123871193
71,0.25761117,0.07252854926484664,0.02683605307038406,-0.002100277623179304,0.02035096874829739,-0.01921146091360271,-0.01489338374372385,-0.04000821429845396,0.00791726846583366,0.008729440197009252,0.08490815536228212
76,0.2757528,0.08034365391441815,0.02742633973525208,-0.001791774802845014,0.02017752951254483,-0.01776209549573688,-0.01365801338875089,-0.03629545899731559,0.008900377235403231,0.007753352816028757,0.08559339729983764
81,0.29389444,0.08793361244335721,0.0280229118845505,-0.001501983126333073,0.02000084456237225,-0.01626128067547344,-0.01244555990994213,-0.03259247841128562,0.009935846421449082,0.006583744242606085,0.08619156745541356
86,0.31203607,0.09529556998794976,0.02862559758951994,-0.001231559982710505,0.01982132248800554,-0.01470334769759603,-0.01125806795157491,-0.02890719912888408,0.01102371465382237,0.005220394900674756,0.08670471511669268
91,0.3301777,0.1024150245498428,0.02923089024793842,-0.0009809159088055011,0.01963846021950496,-0.01308958599234794,-0.01009829421921419,-0.02524188282129352,0.01216266482898487,0.003661974170643983,0.08713171402443173
96,0.34831933,0.1092966891318305,0.02983930979454644,-0.000750649834213821,0.01945260141569679,-0.01141485385678801,-0.008969393759473237,-0.02159961989431779,0.01335383015737813,0.001908385977817991,0.08747707913118404
101,0.36646096,0.1159250561028243,0.03045167002071693,-0.0005411762995095697,0.01926335049419437,-0.009684965090222809,-0.007874284027822297,-0.01798577325418829,0.0145961226362119,-4.023939291245728e-05,0.08774035101635654
106,0.3846026,0.1222885255944196,0.0310677165539938,-0.0003529293116930037,0.01907168322729405,-0.007908124745382737,-0.006815775938626033,-0.01440425069309437,0.01588917805812734,-0.002182411237621678,0.0879234396814222
111,0.40274423,0.1283878001661717,0.03168816026993365,-0.0001860125272883441,0.01887789367317507,-0.00608337599278422,-0.005794322409484346,-0.01085839791981268,0.0172312735038062,-0.004514346052911651,0.08802692762153796
116,0.42088586,0.1342155024698429,0.03231319650024004,-4.088376149854361e-05,0.01868204387550864,-0.004215152844329652,-0.004811374567703739,-0.007352109256491336,0.01862185452589454,-0.007033500645888347,0.08805142864411133
121,0.43902749,0.1397812074031118,0.03294130012914812,8.216248231956434e-05,0.01848606393087902,-0.002290567137562698,-0.003868858068044143,-0.003889086517440007,0.02005944068478212,-0.009736536625936583,0.08799728852496642
126,0.45716912,0.1450751972699735,0.0335730417502787,0.0001828541722404968,0.01828959070958426,-0.0003127179678667403,-0.002968266316315628,-0.0004736769949667623,0.02154391122953028,-0.0126217112584186,0.08786217194590751
131,0.47531076,0.1500951675170308,0.03420736602220115,0.0002609399944566789,0.01809270991050276,0.001717510504472622,-0.002111264915884288,0.002891397386084342,0.02307404271003937,-0.01568664380522131,0.08764910971037945
136,0.49345239,0.1548385136327898,0.0348466321014707,0.0003162155368418844,0.01789512545984522,0.003797748489438573,-0.001298870489426986,0.006201955738947041,0.02464886057611198,-0.01892789254649531,0.08735873876605671
141,0.51159402,0.1593017075064118,0.03548719740731263,0.0003485066608943599,0.01769682321626405,0.005928540405440632,-0.0005324729147090458,0.009454431593712705,0.02626610169816721,-0.02234212557960351,0.08699470501893279
146,0.52973565,0.1634848109614145,0.03613155953435046,0.0003577419763304174,0.01749841263966609,0.008105012935153177,0.0001859489622780571,0.01264462033087214,0.02792355244784808,-0.02592599764532822,0.08656395978024431
151,0.54787728,0.1673876981999017,0.03677954636927881,0.0003440060064088002,0.0173001699856628,0.01032405857532176,0.0008551631894538214,0.01576930611675242,0.02962199496934889,-0.02967331815282149,0.08606677114049587
156,0.56601892,0.1710160916366323,0.03743061155236441,0.0003068667315702048,0.01710232057168568,0.01258697391540943,0.001474137904866239,0.01882723823902489,0.03136095965295271,-0.03358212168918894,0.08550910475794769
161,0.58416055,0.1743632540349376,0.03808368926748509,0.0002467542710074605,0.0169049131685855,0.01489138746870712,0.00204184490099549,0.02181545813258692,0.03314134886246051,-0.03764755559267265,0.08488541355578223
166,0.60230218,0.1774345881922296,0.03873709244055323,0.0001635207996981088,0.01670789673084197,0.01724443579615989,0.002558298938950179,0.02472838077660294,0.0349614938296129,-0.04186629823981108,0.0841997671196215
171,0.62044381,0.1802388380236056,0.03939358023376977,5.738772685967468e-05,0.01651161153281675,0.01964800707285071,0.003022348240347251,0.02756474784043982,0.0368200554841455,-0.04623555322832631,0.08345665312070247
176,0.63858544,0.1827719057123425,0.0400528312302929,-7.158122877707596e-05,0.01631611126403255,0.02209130323659586,0.003433366760693145,0.03032435090090665,0.03871438645443843,-0.05075098564654827,0.08266212274070836
181,0.65672707,0.1850373999021303,0.04071330312910604,-0.0002232154357922888,0.01612131389122569,0.0245807220779085,0.003790404757669426,0.03300124059216826,0.04064501451301716,-0.05540962461902062,0.08181824099584811
186,0.67486871,0.1870272046214424,0.04137668212564665,-0.0003974967250358993,0.01592837800254405,0.02709913527236208,0.004092681454975177,0.03559727235651381,0.04261122596929039,-0.06020648487251624,0.08092581103766243
191,0.69301034,0.1887483586083775,0.04204256497300611,-0.0005942087923618825,0.01573690459100099,0.02965379045234325,0.004339835866678092,0.03810811678685347,0.04461138588314222,-0.06513618896435,0.07998615781206529
196,0.71115197,0.1901961758430887,0.04270899174049485,-0.0008131023906996564,0.01554694526720219,0.03224149729266247,0.004531543901909618,0.04053007840085995,0.04664379742452971,-0.0701936323669911,0.07900005657312067
201,0.7292936,0.1913907907613994,0.04337771161167964,-0.001053828580969147,0.01535918026672903,0.03487339156369209,0.004668005521484418,0.04286204673470675,0.04870935408065387,-0.07537572774367761,0.07797065730710033
206,0.74743523,0.1923299312932154,0.04404658640596312,-0.0013163941660123,0.01517355061259069,0.03754519546064607,0.004748581321883443,0.04510321696655374,0.05080504727968999,-0.0806762463549799,0.0769003937668806
211,0.76557687,0.1930129150618211,0.04471681899416388,-0.00160054295966224,0.01499003031785569,0.04025204751977019,0.004773198761788139,0.04725254268453069,0.05293274408183553,-0.08609535246192698,0.07579142812346623
216,0.7837185,0.1934443286623564,0.04538979974388491,-0.001906045666027964,0.01480843856809452,0.04298820051254088,0.004742014457221487,0.04930985513583151,0.05508904448966399,-0.09162334394975191,0.07464636537089894
